id,state,name,rate
1001,Alabama,Autauga County,1.05604401
1003,Alabama,Baldwin County,0.72344879
1005,Alabama,Barbour County,0.803018833
1007,Alabama,Bibb County,1.159087357
1009,Alabama,Blount County,0.930763502
1011,Alabama,Bullock County,0.649669327
1013,Alabama,Butler County,2.380218705
1015,Alabama,Calhoun County,1.292389002
1017,Alabama,Chambers County,1.111858945
1019,Alabama,Cherokee County,1.480259673
1021,Alabama,Chilton County,1.040056921
1023,Alabama,Choctaw County,0.73146959
1025,Alabama,Clarke County,0.763734975
1027,Alabama,Clay County,0.649669327
1029,Alabama,Cleburne County,0.812405265
1031,Alabama,Coffee County,1.012681657
1033,Alabama,Colbert County,0.890027971
1035,Alabama,Conecuh County,0.505283301
1037,Alabama,Coosa County,1.032118096
1039,Alabama,Covington County,1.324318751
1041,Alabama,Crenshaw County,1.200425203
1043,Alabama,Cullman County,0.780472404
1045,Alabama,Dale County,0.985449224
1047,Alabama,Dallas County,0.753703932
1049,Alabama,DeKalb County,0.412344054
1051,Alabama,Elmore County,0.993006043
1053,Alabama,Escambia County,0.656341831
1055,Alabama,Etowah County,1.440683631
1057,Alabama,Fayette County,2.084713287
1059,Alabama,Franklin County,1.881127894
1061,Alabama,Geneva County,0.980969398
1063,Alabama,Greene County,2.57391392
1065,Alabama,Hale County,0.932067951
1067,Alabama,Henry County,1.0079275
1069,Alabama,Houston County,0.965113215
1071,Alabama,Jackson County,1.0019041
1073,Alabama,Jefferson County,2.342119227
1075,Alabama,Lamar County,0.917939002
1077,Alabama,Lauderdale County,0.759815632
1079,Alabama,Lawrence County,1.570850936
1081,Alabama,Lee County,1.177686577
1083,Alabama,Limestone County,0.918587333
1085,Alabama,Lowndes County,1.121318798
1087,Alabama,Macon County,0.558200599
1089,Alabama,Madison County,0.998409053
1091,Alabama,Marengo County,0.8049647
1093,Alabama,Marion County,0.847727226
1095,Alabama,Marshall County,1.302151205
1097,Alabama,Mobile County,0.737634391
1099,Alabama,Monroe County,1.519270061
1101,Alabama,Montgomery County,1.289568651
1103,Alabama,Morgan County,1.2164695
1105,Alabama,Perry County,1.707947174
1107,Alabama,Pickens County,1.076084055
1109,Alabama,Pike County,1.741048262
1111,Alabama,Randolph County,1.06693875
1113,Alabama,Russell County,1.126667423
1115,Alabama,St. Clair County,0.556621036
1117,Alabama,Shelby County,1.182344345
1119,Alabama,Sumter County,0.315294479
1121,Alabama,Talladega County,1.126067284
1123,Alabama,Tallapoosa County,1.039606211
1125,Alabama,Tuscaloosa County,1.099018618
1127,Alabama,Walker County,0.853768276
1129,Alabama,Washington County,2.230420004
1131,Alabama,Wilcox County,1.007264658
1133,Alabama,Winston County,0.838243467
2013,Alaska,Aleutians East Borough,3.728802225
2016,Alaska,Aleutians West Census Area,8.93780721
2020,Alaska,Anchorage Municipality,2.894604924
2050,Alaska,Bethel Census Area,5.306982586
2060,Alaska,Bristol Bay Borough,7.312184298
2068,Alaska,Denali Borough,3.239411484
2070,Alaska,Dillingham Census Area,3.670802333
2090,Alaska,Fairbanks North Star Borough,3.22376268
2100,Alaska,Haines Borough,8.051910699
2105,Alaska,Hoonah-Angoon Census Area,4.422393582
2110,Alaska,Juneau City and Borough,4.925365529
2122,Alaska,Kenai Peninsula Borough,2.243150472
2130,Alaska,Ketchikan Gateway Borough,4.732712105
2150,Alaska,Kodiak Island Borough,7.841371249
2158,Alaska,Kusilvak Census Area,8.625492876
2164,Alaska,Lake and Peninsula Borough,5.411696541
2170,Alaska,Matanuska-Susitna Borough,3.789243197
2180,Alaska,Nome Census Area,5.423298941
2185,Alaska,North Slope Borough,5.395993046
2188,Alaska,Northwest Arctic Borough,8.062795505
2195,Alaska,Petersburg Census Area,5.077506145
2198,Alaska,Prince of Wales-Hyder Census Area,3.758191877
2220,Alaska,Sitka City and Borough,4.31476004
2230,Alaska,Skagway Municipality,5.311776764
