id,state,name,rate
1001,Alabama,Autauga County,-0.648849949
1003,Alabama,Baldwin County,-0.687130109
1005,Alabama,Barbour County,-0.594852014
1007,Alabama,Bibb County,-0.398717976
1009,Alabama,Blount County,-0.478284883
1011,Alabama,Bullock County,-0.765171686
1013,Alabama,Butler County,0.432019526
1015,Alabama,Calhoun County,-0.337863301
1017,Alabama,Chambers County,-0.446894909
1019,Alabama,Cherokee County,-0.33969455
1021,Alabama,Chilton County,-0.660559703
1023,Alabama,Choctaw County,-0.445588033
1025,Alabama,Clarke County,-0.84153527
1027,Alabama,Clay County,-0.765171686
1029,Alabama,Cleburne County,-0.555433133
1031,Alabama,Coffee County,-0.937163814
1033,Alabama,Colbert County,-0.365123419
1035,Alabama,Conecuh County,1.071690632
1037,Alabama,Coosa County,-0.666550203
1039,Alabama,Covington County,-0.663963425
1041,Alabama,Crenshaw County,-0.566742397
1043,Alabama,Cullman County,-0.525508299
1045,Alabama,Dale County,-0.474220738
1047,Alabama,Dallas County,-0.639821485
1049,Alabama,DeKalb County,1.120197903
1051,Alabama,Elmore County,-0.697926878
1053,Alabama,Escambia County,-0.742233054
1055,Alabama,Etowah County,-0.301918413
1057,Alabama,Fayette County,0.217569917
1059,Alabama,Franklin County,0.235997155
1061,Alabama,Geneva County,-0.476566196
1063,Alabama,Greene County,0.122789185
1065,Alabama,Hale County,-0.503847203
1067,Alabama,Henry County,-0.462806871
1069,Alabama,Houston County,-0.654191648
1071,Alabama,Jackson County,-0.346950264
1073,Alabama,Jefferson County,0.183942862
1075,Alabama,Lamar County,-0.719725273
1077,Alabama,Lauderdale County,-0.415009692
1079,Alabama,Lawrence County,0.237720419
1081,Alabama,Lee County,-0.392073904
1083,Alabama,Limestone County,-0.321003122
1085,Alabama,Lowndes County,-1.094685475
1087,Alabama,Macon County,-1.16237617
1089,Alabama,Madison County,-0.287887387
1091,Alabama,Marengo County,-0.402411529
1093,Alabama,Marion County,-0.639520635
1095,Alabama,Marshall County,-0.2405105
1097,Alabama,Mobile County,-0.656135239
1099,Alabama,Monroe County,0.300706899
1101,Alabama,Montgomery County,0.3871395
1103,Alabama,Morgan County,-0.308982989
1105,Alabama,Perry County,0.266622437
1107,Alabama,Pickens County,-0.43144486
1109,Alabama,Pike County,0.379197291
1111,Alabama,Randolph County,-0.435394545
1113,Alabama,Russell County,-0.410871825
1115,Alabama,St. Clair County,0.941513963
1117,Alabama,Shelby County,-0.39044557
1119,Alabama,Sumter County,-1.554815447
1121,Alabama,Talladega County,-0.571305346
1123,Alabama,Tallapoosa County,-0.447659634
1125,Alabama,Tuscaloosa County,-0.421858751
1127,Alabama,Walker County,-0.555156055
1129,Alabama,Washington County,0.258188677
1131,Alabama,Wilcox County,1.425219243
1133,Alabama,Winston County,-0.536414558
2013,Alaska,Aleutians East Borough,0.336304886
2016,Alaska,Aleutians West Census Area,0.138113319
2020,Alaska,Anchorage Municipality,0.439077218
2050,Alaska,Bethel Census Area,0.233995635
2060,Alaska,Bristol Bay Borough,0.894733607
2068,Alaska,Denali Borough,0.679810216
2070,Alaska,Dillingham Census Area,0.341833812
2090,Alaska,Fairbanks North Star Borough,0.683740352
2100,Alaska,Haines Borough,1.074179893
2105,Alaska,Hoonah-Angoon Census Area,0.107422974
2110,Alaska,Juneau City and Borough,0.096416997
2122,Alaska,Kenai Peninsula Borough,0.752460071
2130,Alaska,Ketchikan Gateway Borough,0.263023131
2150,Alaska,Kodiak Island Borough,0.157576592
2158,Alaska,Kusilvak Census Area,0.915763085
2164,Alaska,Lake and Peninsula Borough,0.229385951
2170,Alaska,Matanuska-Susitna Borough,0.33073417
2180,Alaska,Nome Census Area,0.228886448
2185,Alaska,North Slope Borough,0.230065528
2188,Alaska,Northwest Arctic Borough,1.012903564
2195,Alaska,Petersburg Census Area,0.244782414
2198,Alaska,Prince of Wales-Hyder Census Area,0.33357238
2220,Alaska,Sitka City and Borough,0.289200534
2230,Alaska,Skagway Municipality,0.233780505
2240,Alaska,Southeast Fairbanks Census Area,0.546788682
2261,Alaska,Valdez-Cordova Census Area,0.514872684
2275,Alaska,Wrangell City and Borough,0.229860446
2282,Alaska,Yakutat City and Borough,0.260071868
2290,Alaska,Yukon-Koyukuk Census Area,0.354029919
4001,Arizona,Apache County,0.127757985
4003,Arizona,Cochise County,0.481519508
4005,Arizona,Coconino County,0.197522152
4007,Arizona,Gila County,0.3510899
4009,Arizona,Graham County,0.311239526
4011,Arizona,Greenlee County,0.429602307
4012,Arizona,La Paz County,0.23860337
4013,Arizona,Maricopa County,0.071232393
4015,Arizona,Mohave County,0.047954099
4017,Arizona,Navajo County,0.129161868
4019,Arizona,Pima County,0.331474841
4021,Arizona,Pinal County,0.211341302
4023,Arizona,Santa Cruz County,0.064365883
4025,Arizona,Yavapai County,0.266858269
4027,Arizona,Yuma County,0.326993018
5001,Arkansas,Arkansas County,-0.175753636
5003,Arkansas,Ashley County,-0.213176656
5005,Arkansas,Baxter County,-0.302833652
5007,Arkansas,Benton County,-0.021746818
5009,Arkansas,Boone County,-0.393977836
5011,Arkansas,Bradley County,0.641312258
5013,Arkansas,Calhoun County,1.406159938
5015,Arkansas,Carroll County,-0.267280698
5017,Arkansas,Chicot County,-0.216910546
5019,Arkansas,Clark County,-0.282052445
5021,Arkansas,Clay County,-0.282800177
5023,Arkansas,Cleburne County,-0.163406514
5025,Arkansas,Cleveland County,-0.234970854
5027,Arkansas,Columbia County,-0.223428113
5029,Arkansas,Conway County,-0.131307607
5031,Arkansas,Craighead County,0.02978882
5033,Arkansas,Crawford County,0.070721826
5035,Arkansas,Crittenden County,-0.1488206
5037,Arkansas,Cross County,-0.168164909
5039,Arkansas,Dallas County,-0.298248006
5041,Arkansas,Desha County,-0.936469626
5043,Arkansas,Drew County,-0.209567284
5045,Arkansas,Faulkner County,-0.126782165
5047,Arkansas,Franklin County,-0.03126662
5049,Arkansas,Fulton County,-0.211250446
5051,Arkansas,Garland County,-0.119373004
5053,Arkansas,Grant County,-0.202704818
5055,Arkansas,Greene County,-0.118314327
5057,Arkansas,Hempstead County,-0.065942019
5059,Arkansas,Hot Spring County,-0.126346627
5061,Arkansas,Howard County,-0.478122185
5063,Arkansas,Independence County,-0.167013478
5065,Arkansas,Izard County,-0.234696293
5067,Arkansas,Jackson County,-0.30798796
5069,Arkansas,Jefferson County,-0.177440939
5071,Arkansas,Johnson County,-0.189840674
5073,Arkansas,Lafayette County,1.461137253
5075,Arkansas,Lawrence County,-0.178977712
5077,Arkansas,Lee County,-0.372419742
5079,Arkansas,Lincoln County,-0.2923291
5081,Arkansas,Little River County,-0.015606502
5083,Arkansas,Logan County,-0.049754882
5085,Arkansas,Lonoke County,-0.13821089
5087,Arkansas,Madison County,-0.03925279
5089,Arkansas,Marion County,-0.259131716
5091,Arkansas,Miller County,-0.052014559
5093,Arkansas,Mississippi County,-0.607787168
5095,Arkansas,Monroe County,-0.117036808
5097,Arkansas,Montgomery County,0.934984547
5099,Arkansas,Nevada County,-0.294810624
5101,Arkansas,Newton County,0.511520715
5103,Arkansas,Ouachita County,-0.223428113
5105,Arkansas,Perry County,-0.168083734
5107,Arkansas,Phillips County,-0.280460302
5109,Arkansas,Pike County,-0.635007794
5111,Arkansas,Poinsett County,-0.172390435
5113,Arkansas,Polk County,-0.600451069
5115,Arkansas,Pope County,-0.146454717
5117,Arkansas,Prairie County,-0.131777881
5119,Arkansas,Pulaski County,-0.147628249
5121,Arkansas,Randolph County,-0.393026836
5123,Arkansas,St. Francis County,-0.508325658
5125,Arkansas,Saline County,-0.143589081
5127,Arkansas,Scott County,-0.066813774
5129,Arkansas,Searcy County,-0.305977634
5131,Arkansas,Sebastian County,-0.129345798
5133,Arkansas,Sevier County,-0.106547445
5135,Arkansas,Sharp County,-0.165766244
5137,Arkansas,Stone County,-0.448617687
5139,Arkansas,Union County,-0.378468559
5141,Arkansas,Van Buren County,-0.106692656
5143,Arkansas,Washington County,-0.045117579
5145,Arkansas,White County,-0.135664144
5147,Arkansas,Woodruff County,-0.186063152
5149,Arkansas,Yell County,-0.172472563
6001,California,Alameda County,0.110396415
6003,California,Alpine County,0.096555778
6005,California,Amador County,0.120095525
6007,California,Butte County,0.136639406
6009,California,Calaveras County,0.115861295
6011,California,Colusa County,0.123499304
6013,California,Contra Costa County,0.114166095
6015,California,Del Norte County,0.062639317
6017,California,El Dorado County,0.110526772
6019,California,Fresno County,0.120018588
6021,California,Glenn County,0.123580747
6023,California,Humboldt County,0.087147411
6025,California,Imperial County,0.061457543
6027,California,Inyo County,0.100269599
6029,California,Kern County,0.116292954
6031,California,Kings County,0.11085401
6033,California,Lake County,0.11658251
6035,California,Lassen County,0.080259521
6037,California,Los Angeles County,0.118831789
6039,California,Madera County,0.120870333
6041,California,Marin County,0.107604091
6043,California,Mariposa County,0.112790707
6045,California,Mendocino County,0.111117194
6047,California,Merced County,0.126928455
6049,California,Modoc County,0.031175627
6051,California,Mono County,0.074438285
6053,California,Monterey County,0.106562562
6055,California,Napa County,0.102589873
6057,California,Nevada County,0.101919251
6059,California,Orange County,0.122067724
6061,California,Placer County,0.113199846
6063,California,Plumas County,0.108729222
6065,California,Riverside County,0.059387821
6067,California,Sacramento County,0.071065988
6069,California,San Benito County,0.112790707
6071,California,San Bernardino County,0.123057625
6073,California,San Diego County,0.123755774
6075,California,San Francisco County,0.09930583
6077,California,San Joaquin County,0.128582627
6079,California,San Luis Obispo County,0.099905424
6081,California,San Mateo County,0.104831446
6083,California,Santa Barbara County,0.120870928
6085,California,Santa Clara County,0.111713931
6087,California,Santa Cruz County,0.113749985
6089,California,Shasta County,0.128143175
6091,California,Sierra County,0.145319655
6093,California,Siskiyou County,0.070046295
6095,California,Solano County,0.120172561
6097,California,Sonoma County,0.106684051
6099,California,Stanislaus County,0.119783956
6101,California,Sutter County,0.144977845
6103,California,Tehama County,0.13091696
6105,California,Trinity County,-0.009269594
6107,California,Tulare County,0.124376469
6109,California,Tuolumne County,0.141056065
6111,California,Ventura County,0.110526772
6113,California,Yolo County,0.119330541
6115,California,Yuba County,0.150315568
8001,Colorado,Adams County,0.17551561
8003,Colorado,Alamosa County,0.3505679
8005,Colorado,Arapahoe County,0.168155846
8007,Colorado,Archuleta County,0.240651365
8009,Colorado,Baca County,0.578580162
8011,Colorado,Bent County,0.257354536
8013,Colorado,Boulder County,0.122714309
8014,Colorado,Broomfield County,0.147482739
8015,Colorado,Chaffee County,0.21696404
8017,Colorado,Cheyenne County,0.821375496
8019,Colorado,Clear Creek County,0.083998294
8021,Colorado,Conejos County,0.109008675
8023,Colorado,Costilla County,0.117908096
8025,Colorado,Crowley County,0.244194557
8027,Colorado,Custer County,0.248955033
8029,Colorado,Delta County,0.168438598
8031,Colorado,Denver County,0.111020269
8033,Colorado,Dolores County,0.327037532
8035,Colorado,Douglas County,0.169703317
8037,Colorado,Eagle County,0.055599594
8039,Colorado,Elbert County,0.200954184
8041,Colorado,El Paso County,0.232000188
8043,Colorado,Fremont County,0.267990149
8045,Colorado,Garfield County,0.080528137
8047,Colorado,Gilpin County,0.086389305
8049,Colorado,Grand County,0.149047324
8051,Colorado,Gunnison County,0.180033399
8053,Colorado,Hinsdale County,0.265642228
8055,Colorado,Huerfano County,0.277891563
8057,Colorado,Jackson County,-0.636925497
8059,Colorado,Jefferson County,-0.426490067
8061,Colorado,Kiowa County,1.401203834
8063,Colorado,Kit Carson County,0.269898278
8065,Colorado,Lake County,0.088865375
8067,Colorado,La Plata County,0.360940919
8069,Colorado,Larimer County,0.107251348
8071,Colorado,Las Animas County,0.325083376
8073,Colorado,Lincoln County,-0.423410595
8075,Colorado,Logan County,0.323046865
8077,Colorado,Mesa County,0.256635383
8079,Colorado,Mineral County,0.254411188
8081,Colorado,Moffat County,0.05129089
8083,Colorado,Montezuma County,0.535723843
8085,Colorado,Montrose County,0.171350573
8087,Colorado,Morgan County,0.192820503
8089,Colorado,Otero County,0.271285961
8091,Colorado,Ouray County,0.180325651
8093,Colorado,Park County,0.100798206
8095,Colorado,Phillips County,0.122497194
8097,Colorado,Pitkin County,0.02879459
8099,Colorado,Prowers County,-1.465423898
8101,Colorado,Pueblo County,0.26951274
8103,Colorado,Rio Blanco County,0.079302015
8105,Colorado,Rio Grande County,0.283077258
8107,Colorado,Routt County,0.052799854
8109,Colorado,Saguache County,0.117908096
8111,Colorado,San Juan County,0.239654127
8113,Colorado,San Miguel County,0.16014457
8115,Colorado,Sedgwick County,0.332572798
8117,Colorado,Summit County,0.069294026
8119,Colorado,Teller County,0.126000646
8121,Colorado,Washington County,-0.431192244
8123,Colorado,Weld County,0.153742064
8125,Colorado,Yuma County,0.346039943
9001,Connecticut,Fairfield County,1.008916744
9003,Connecticut,Hartford County,-1.508805563
9005,Connecticut,Litchfield County,1.302538742
9007,Connecticut,Middlesex County,1.447287377
9009,Connecticut,New Haven County,1.545064042
9011,Connecticut,New London County,1.497796347
9013,Connecticut,Tolland County,1.447287377
9015,Connecticut,Windham County,0.990094077
10001,Delaware,Kent County,1.383911807
10003,Delaware,New Castle County,0.881464068
10005,Delaware,Sussex County,1.294418654
11001,District of Columbia,District of Columbia,1.294418654
12001,Florida,Alachua County,0.993896817
12003,Florida,Baker County,-1.489669521
12005,Florida,Bay County,-0.777176494
12007,Florida,Bradford County,0.216645657
12009,Florida,Brevard County,-0.911667921
12011,Florida,Broward County,0.71442973
12013,Florida,Calhoun County,0.903225903
12015,Florida,Charlotte County,-1.372465425
12017,Florida,Citrus County,-1.515028406
12019,Florida,Clay County,-1.01070099
12021,Florida,Collier County,0.867142961
12023,Florida,Columbia County,0.145039282
12027,Florida,DeSoto County,0.910799546
12029,Florida,Dixie County,-1.408630723
12031,Florida,Duval County,-1.169200795
12033,Florida,Escambia County,-1.137940737
12035,Florida,Flagler County,1.480956163
12037,Florida,Franklin County,-0.664714394
12039,Florida,Gadsden County,-1.165963836
12041,Florida,Gilchrist County,-1.021627081
12043,Florida,Glades County,0.88587654
12045,Florida,Gulf County,-1.53928685
12047,Florida,Hamilton County,-1.384679352
12049,Florida,Hardee County,1.438953118
12051,Florida,Hendry County,0.627332742
12053,Florida,Hernando County,-1.358706376
12055,Florida,Highlands County,1.451735167
12057,Florida,Hillsborough County,-1.460461556
12059,Florida,Holmes County,1.036007654
12061,Florida,Indian River County,1.118050903
12063,Florida,Jackson County,-1.062196063
12065,Florida,Jefferson County,-0.573797696
12067,Florida,Lafayette County,0.96421927
12069,Florida,Lake County,-1.277581163
12071,Florida,Lee County,1.498854543
12073,Florida,Leon County,1.407456359
12075,Florida,Levy County,1.079211324
12077,Florida,Liberty County,0.848170744
12079,Florida,Madison County,0.990052837
12081,Florida,Manatee County,1.552781615
12083,Florida,Marion County,-1.546875586
